uid iid
0 1784 1
0 1814 1
0 2812 1
0 4397 1
0 5434 1
1 991 1
1 1206 1
1 1657 1
1 1920 1
1 3755 1
1 4392 1
1 5325 1
1 5465 1
1 5517 1
1 6347 1
1 6718 1
2 2864 1
2 2946 1
2 4446 1
2 4744 1
2 5878 1
2 6134 1
2 6467 1
2 6891 1
2 7770 1
3 1703 1
3 1827 1
3 2402 1
3 2466 1
3 2746 1
3 2889 1
3 3177 1
3 4457 1
3 5878 1
4 414 1
4 742 1
4 769 1
4 1814 1
4 1829 1
4 2114 1
4 2118 1
4 4543 1
4 5174 1
4 5392 1
4 5559 1
4 5909 1
4 6995 1
4 7015 1
4 7264 1
5 406 1
5 1657 1
5 2149 1
5 2979 1
5 3132 1
5 4193 1
5 5358 1
5 5808 1
5 7109 1
5 7609 1
5 7917 1
6 2030 1
6 2149 1
6 3331 1
6 4371 1
6 6305 1
7 93 1
7 3949 1
7 5434 1
7 5944 1
7 7092 1
8 158 1
8 1133 1
8 1641 1
8 1642 1
8 2824 1
8 2906 1
8 4551 1
8 4805 1
8 6877 1
8 6886 1
9 140 1
9 734 1
9 903 1
9 956 1
9 1189 1
9 3537 1
9 4171 1
9 4330 1
9 5028 1
10 2979 1
10 3564 1
10 3583 1
10 3888 1
10 4036 1
10 4140 1
10 4403 1
10 4530 1
11 2390 1
11 2903 1
11 3569 1
11 3665 1
11 4666 1
11 5884 1
12 93 1
12 2402 1
12 2408 1
12 2481 1
12 3052 1
12 3888 1
12 3898 1
12 3938 1
12 3983 1
12 4371 1
12 4392 1
12 4572 1
12 5174 1
12 5176 1
12 6334 1
12 6844 1
12 6974 1
12 7289 1
12 7846 1
13 660 1
13 1286 1
13 1657 1
13 2466 1
13 2716 1
13 3125 1
14 657 1
14 1219 1
14 1622 1
14 3331 1
14 5434 1
14 5563 1
15 1642 1
15 1995 1
15 3045 1
15 3331 1
15 3553 1
15 3681 1
15 4397 1
15 4974 1
15 5836 1
15 6153 1
16 405 1
16 414 1
16 627 1
16 1360 1
16 2440 1
16 3010 1
16 3397 1
16 4491 1
16 4572 1
16 4691 1
16 5826 1
16 6361 1
16 6493 1
16 6877 1
16 6878 1
16 7071 1
16 7109 1
16 7214 1
16 7218 1
16 7362 1
16 7431 1
17 61 1
17 93 1
17 1934 1
17 2103 1
17 2197 1
17 2481 1
17 2521 1
17 3034 1
17 3155 1
17 4394 1
17 6949 1
17 7266 1
17 7333 1
17 7486 1
18 732 1
18 2979 1
18 4403 1
18 4935 1
18 4969 1
18 5049 1
18 5657 1
19 1189 1
19 1999 1
19 2438 1
19 2490 1
19 2504 1
19 2602 1
19 3050 1
19 3259 1
19 3583 1
19 3755 1
19 3888 1
19 4139 1
19 5039 1
19 5401 1
19 5434 1
19 5702 1
19 7431 1
20 432 1
20 1605 1
20 1846 1
20 2426 1
20 2501 1
20 2979 1
21 311 1
21 742 1
21 1475 1
21 2510 1
21 4540 1
21 5358 1
21 5368 1
22 1077 1
22 1086 1
22 3331 1
22 4206 1
